pid,label,order,collection,layout,thumbnail,full,manifest
letter,Cover letter,0,cahier,item,"/img/derivatives/iiif/images/letter/full/250,/0/default.jpg",/img/derivatives/iiif/images/letter/full/full/0/default.jpg,/img/derivatives/iiif/letter/manifest.json
ms00,Title page,1,cahier,item,"/img/derivatives/iiif/images/ms00/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms00/full/full/0/default.jpg,/img/derivatives/iiif/ms00/manifest.json
ms09,Page 9,10,cahier,item,"/img/derivatives/iiif/images/ms09/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms09/full/full/0/default.jpg,/img/derivatives/iiif/ms09/manifest.json
ms10,Page 10,11,cahier,item,"/img/derivatives/iiif/images/ms10/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms10/full/full/0/default.jpg,/img/derivatives/iiif/ms10/manifest.json
ms11,Page 11,12,cahier,item,"/img/derivatives/iiif/images/ms11/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms11/full/full/0/default.jpg,/img/derivatives/iiif/ms11/manifest.json
ms12,Page 12,13,cahier,item,"/img/derivatives/iiif/images/ms12/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms12/full/full/0/default.jpg,/img/derivatives/iiif/ms12/manifest.json
ms13,Page 13,14,cahier,item,"/img/derivatives/iiif/images/ms13/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms13/full/full/0/default.jpg,/img/derivatives/iiif/ms13/manifest.json
ms14,Page 14,15,cahier,item,"/img/derivatives/iiif/images/ms14/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms14/full/full/0/default.jpg,/img/derivatives/iiif/ms14/manifest.json
ms15,Page 15,16,cahier,item,"/img/derivatives/iiif/images/ms15/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms15/full/full/0/default.jpg,/img/derivatives/iiif/ms15/manifest.json
ms16,Page 16,17,cahier,item,"/img/derivatives/iiif/images/ms16/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms16/full/full/0/default.jpg,/img/derivatives/iiif/ms16/manifest.json
ms16bis,Page 16 bis,18,cahier,item,"/img/derivatives/iiif/images/ms16bis/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms16bis/full/full/0/default.jpg,/img/derivatives/iiif/ms16bis/manifest.json
ms17,Page 17,19,cahier,item,"/img/derivatives/iiif/images/ms17/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms17/full/full/0/default.jpg,/img/derivatives/iiif/ms17/manifest.json
ms01,Page 1,2,cahier,item,"/img/derivatives/iiif/images/ms01/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms01/full/full/0/default.jpg,/img/derivatives/iiif/ms01/manifest.json
ms17bis,Page 17 bis,20,cahier,item,"/img/derivatives/iiif/images/ms17bis/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms17bis/full/full/0/default.jpg,/img/derivatives/iiif/ms17bis/manifest.json
ms18,Page 18,21,cahier,item,"/img/derivatives/iiif/images/ms18/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms18/full/full/0/default.jpg,/img/derivatives/iiif/ms18/manifest.json
ms19,Page 19,22,cahier,item,"/img/derivatives/iiif/images/ms19/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms19/full/full/0/default.jpg,/img/derivatives/iiif/ms19/manifest.json
ms20,Page 20,23,cahier,item,"/img/derivatives/iiif/images/ms20/full/250,/0/default.jpg",/img/derivatives/iiif/images/ms20/full/full/0/default.jpg,/img/derivatives/iiif/ms20/manifest.json
