pid,label,order,act,p1,p2,p3,p4,p5,p6,p7,p8,p9,paper,carbon,residue,tone,blue_ink,dark_ink,red_ink,dark_pencil,light_pencil,red_pencil,half_pages,full_use,underlines,manifest,thumbnail,full
p000,Title Page,Title,,,,,,,,,,39,atemoya,blue,dirty,medium,,,,,,,,,,/img/derivatives/iiif/p000/manifest.json,"/img/derivatives/iiif/images/p000/full/250,/0/default.jpg","/img/derivatives/iiif/images/p000/full/1140,/0/default.jpg"
p001,Page 1,1,I,,,,,,1,,,40,atemoya,black,medium,dark,x,,,,x,,x,,,/img/derivatives/iiif/p001/manifest.json,"/img/derivatives/iiif/images/p001/full/250,/0/default.jpg","/img/derivatives/iiif/images/p001/full/1140,/0/default.jpg"
p002,Page 2,2,I,,3,,,,2,,,41,batata,blue,clean,medium,x,,,,x,,,,x,/img/derivatives/iiif/p002/manifest.json,"/img/derivatives/iiif/images/p002/full/250,/0/default.jpg","/img/derivatives/iiif/images/p002/full/1140,/0/default.jpg"
p003,Page 3,3,I,,4,,,,3,,,42,batata,blue,clean,medium,,,,x,,,x,,x,/img/derivatives/iiif/p003/manifest.json,"/img/derivatives/iiif/images/p003/full/250,/0/default.jpg","/img/derivatives/iiif/images/p003/full/1140,/0/default.jpg"
p004,Page 4,4,I,,5,,,,4,,,43,batata,blue,clean,medium,x,,,,x,,,,x,/img/derivatives/iiif/p004/manifest.json,"/img/derivatives/iiif/images/p004/full/250,/0/default.jpg","/img/derivatives/iiif/images/p004/full/1140,/0/default.jpg"
p005,Page 5,5,I,,6,,,,5,,,44,batata,blue,clean,medium,x,,,,x,,,,x,/img/derivatives/iiif/p005/manifest.json,"/img/derivatives/iiif/images/p005/full/250,/0/default.jpg","/img/derivatives/iiif/images/p005/full/1140,/0/default.jpg"
p006,Page 6,6,I,,7,,,,6,,,45,batata,blue,clean,medium,,,,,x,,,,x,/img/derivatives/iiif/p006/manifest.json,"/img/derivatives/iiif/images/p006/full/250,/0/default.jpg","/img/derivatives/iiif/images/p006/full/1140,/0/default.jpg"
p007,Page 7,7,I,,8,,,,7,,,46,batata,blue,clean,medium,x,,,,x,,,,x,/img/derivatives/iiif/p007/manifest.json,"/img/derivatives/iiif/images/p007/full/250,/0/default.jpg","/img/derivatives/iiif/images/p007/full/1140,/0/default.jpg"
p008,Page 8,8,I,,9,,,,8,,,47,batata,blue,clean,medium,x,,,,x,,,,x,/img/derivatives/iiif/p008/manifest.json,"/img/derivatives/iiif/images/p008/full/250,/0/default.jpg","/img/derivatives/iiif/images/p008/full/1140,/0/default.jpg"
p009,Page 9,9,I,,10,,,,9,,,48,batata,blue,clean,medium,x,,,,,,x,,x,/img/derivatives/iiif/p009/manifest.json,"/img/derivatives/iiif/images/p009/full/250,/0/default.jpg","/img/derivatives/iiif/images/p009/full/1140,/0/default.jpg"
p010,Page 10,10,I,,11,,,,10,,,49,batata,blue,clean,medium,,,,x,,,,,x,/img/derivatives/iiif/p010/manifest.json,"/img/derivatives/iiif/images/p010/full/250,/0/default.jpg","/img/derivatives/iiif/images/p010/full/1140,/0/default.jpg"
